"","POPULATION_CU","POPULATION","POP_ID","SPECIES","Y_LAT","X_LONGT","CU_NAME","CU_ACRO","FULL_CU_IN","cuid","IS_INDICATOR","REGION","year_start","year_final","START_SPAWN_DT","nYears_START_SPAWN_DT","nYearsOutside_START_SPAWN_DT","PEAK_SPAWN_DT","nYears_PEAK_SPAWN_DT","nYearsOutside_PEAK_SPAWN_DT","END_SPAWN_DT","nYears_END_SPAWN_DT","nYearsOutside_END_SPAWN_DT","DQ_START","DQ_PEAK","DQ_END"
"11","Ada Cove Creek (Bella Bella) Pink_PKE-5","Ada Cove Creek (Bella Bella) Pink",3152,"Pink",52.0555371531114,-128.050549628469,"HECATE LOWLANDS","HStr-HecLow","PKE-5",608,"N","Central Coast",2002,2022,260.75,2,1,280.75,2,1,295.333333333333,3,2,2,2,2
"12","Ada Cove Creek (Bella Bella) Pink_PKO-12","Ada Cove Creek (Bella Bella) Pink",3152,"Pink",52.0555371531114,-128.050549628469,"HECATE STRAIT-LOWLANDS","HStr-HecLow","PKO-12",611,"N","Central Coast",2003,2022,252.2,5,5,271,5,5,288.5,1,1,3,3,3
"13","Ada Cove Creek (Bella Bella) Sockeye_SER-17","Ada Cove Creek (Bella Bella) Sockeye",3170,"Sockeye",52.0555371531114,-128.050549628469,"NORTHERN COASTAL STREAMS","NC","SER-17",615,"N","Central Coast",2002,2002,274,1,0,NA,0,0,NA,0,0,2,3,3
"14","Adam River (Alert Bay) Chinook Run 1_CK-29","Adam River (Alert Bay) Chinook Run 1",52698,"Chinook",50.4658760974358,-126.277488033607,"EAST VANCOUVER ISLAND-NORTH_FA_0.x","NEVI","CK-29",327,"N","Vancouver Island & Mainland Inlets",1953,2006,165.975,20,12,215.452380952381,21,13,248,20,11,1,1,1
"15","Adam River (Alert Bay) Chum Run 1_CM-5","Adam River (Alert Bay) Chum Run 1",52696,"Chum",50.4658760974358,-126.277488033607,"NORTHEAST VANCOUVER ISLAND","NEVI","CM-5",903,"N","Vancouver Island & Mainland Inlets",1953,2006,274.863636363636,22,13,299.545454545455,22,12,321.931818181818,22,12,1,1,1
"16","Adam River (Alert Bay) Coho Run 1_CO-14","Adam River (Alert Bay) Coho Run 1",52692,"Coho",50.4658760974358,-126.277488033607,"EAST VANCOUVER ISLAND-JOHNSTONE STRAIT-SOUTHERN FJORDS","EVI+SFj","CO-14",911,"Y","Vancouver Island & Mainland Inlets",1953,2006,240.161290322581,31,21,273.55,30,20,301.4,30,19,1,1,1
"17","Adam River (Alert Bay) Pink Run 1_PKE-4","Adam River (Alert Bay) Pink Run 1",52694,"Pink",50.4658760974358,-126.277488033607,"SOUTHERN FJORDS","SFj","PKE-4",920,"Y","Vancouver Island & Mainland Inlets",1954,2006,222.568181818182,22,16,249.113636363636,22,16,274.590909090909,22,16,1,1,1
"18","Adam River (Alert Bay) Pink Run 1_PKO-4","Adam River (Alert Bay) Pink Run 1",52694,"Pink",50.4658760974358,-126.277488033607,"EAST VANCOUVER ISLAND-JOHNSTONE STRAIT","EVI+JStr","PKO-4",923,"Y","Vancouver Island & Mainland Inlets",1953,2003,214.190476190476,21,16,249.325,20,14,273.047619047619,21,15,1,1,1
"19","Adam River (Alert Bay) Sockeye Run 1_SER-08","Adam River (Alert Bay) Sockeye Run 1",52690,"Sockeye",50.4658760974358,-126.277488033607,"EAST VANCOUVER ISLAND AND GEORGIA STRAIT","EVI-GStr","SER-08",973,"N","Vancouver Island & Mainland Inlets",1953,2006,170.052631578947,19,11,199.473684210526,19,11,229.263157894737,19,10,1,1,1
"20","Adams Channel (Salmon Arm) Early Summer Sockeye_SEL-09-02","Adams Channel (Salmon Arm) Early Summer Sockeye",45082,"Sockeye",50.8974434072034,-119.550083742724,"SHUSWAP COMPLEX-EARLY SUMMER TIMING","Shuswap-ES","SEL-09-02",738,"N","Fraser",1990,2010,NA,0,0,252.1,5,2,NA,0,0,3,2,3
"21","Adams Channel (Salmon Arm) Late Sockeye_SEL-09-03","Adams Channel (Salmon Arm) Late Sockeye",45083,"Sockeye",50.8974434072034,-119.550083742724,"SHUSWAP COMPLEX-LATE TIMING","Shuswap Complex-L","SEL-09-03",739,"N","Fraser",1990,2018,NA,0,0,295.055555555556,9,6,NA,0,0,3,2,3
"22","Adams Creek (Quesnel Lake Shore) Summer Sockeye_SEL-06-10","Adams Creek (Quesnel Lake Shore) Summer Sockeye",7798,"Sockeye",52.6089503972122,-120.978190922099,"QUESNEL-SUMMER TIMING","Quesnel-S","SEL-06-10",728,"N","Fraser",2018,2018,NA,0,0,263,1,1,NA,0,0,3,3,3
"23","Adams Lake (Clearwater) Late Sockeye_SEL-09-03","Adams Lake (Clearwater) Late Sockeye",45089,"Sockeye",50.9610998945415,-119.675967982499,"SHUSWAP COMPLEX-LATE TIMING","Shuswap Complex-L","SEL-09-03",739,"N","Fraser",1942,1998,NA,0,0,295.888888888889,9,0,NA,0,0,3,1,3
"24","Adams River - Upper (Clearwater) Coho_CO-8","Adams River - Upper (Clearwater) Coho",46250,"Coho",51.4089504796979,-119.458585488563,"SOUTH THOMPSON","STHOM","CO-8",708,"N","Fraser",1975,2009,306.321428571429,14,8,317.583333333333,18,12,332.625,12,6,1,1,1
"25","Adams River (Salmon Arm) Chinook Run 1_CK-13","Adams River (Salmon Arm) Chinook Run 1",46246,"Chinook",50.8943855175699,-119.554135949561,"SOUTH THOMPSON_SU_0.3","STh-0.3","CK-13",313,"Y","Fraser",1953,2012,262.772727272727,44,21,279.254901960784,51,27,300.454545454545,44,20,1,1,1
"26","Adams River (Salmon Arm) Coho_CO-8","Adams River (Salmon Arm) Coho",46240,"Coho",50.8943855175699,-119.554135949561,"SOUTH THOMPSON","STHOM","CO-8",708,"Y","Fraser",1997,2008,314.75,8,8,321.8,10,10,349.875,8,8,3,3,3
"27","Adams River (Salmon Arm) Early Summer Sockeye_SEL-09-02","Adams River (Salmon Arm) Early Summer Sockeye",46238,"Sockeye",50.8943855175699,-119.554135949561,"SHUSWAP COMPLEX-EARLY SUMMER TIMING","Shuswap-ES","SEL-09-02",738,"N","Fraser",1990,2022,NA,0,0,251.035714285714,14,13,NA,0,0,3,2,3
"28","Adams River (Salmon Arm) Late Sockeye_SEL-09-03","Adams River (Salmon Arm) Late Sockeye",46239,"Sockeye",50.8943855175699,-119.554135949561,"SHUSWAP COMPLEX-LATE TIMING","Shuswap Complex-L","SEL-09-03",739,"Y","Fraser",1938,2022,NA,0,0,292.075949367089,79,36,NA,0,0,3,1,3
"29","Adams River (Salmon Arm) Pink Run 1_PKO-1","Adams River (Salmon Arm) Pink Run 1",46242,"Pink",50.8943855175699,-119.554135949561,"FRASER RIVER","FR","PKO-1",710,"N","Fraser",1965,1997,274.214285714286,7,2,284.125,8,1,299.857142857143,7,1,1,1,1
"30","Adams River (Shuswap Lake Shore) Late Sockeye_SEL-09-03","Adams River (Shuswap Lake Shore) Late Sockeye",3393,"Sockeye",50.8945279310742,-119.549924043835,"SHUSWAP COMPLEX-LATE TIMING","Shuswap Complex-L","SEL-09-03",739,"N","Fraser",2003,2022,NA,0,0,291.25,6,6,NA,0,0,3,3,3
"31","Adams River (Upper) (Clearwater) Chinook Run 1_CK-82","Adams River (Upper) (Clearwater) Chinook Run 1",46256,"Chinook",51.4089504796979,-119.458585488563,"UPPER ADAMS RIVER_SU_x.x","UAdams","CK-82",333,"N","Fraser",1964,2002,250.75,4,4,262.428571428571,7,6,277.5,4,4,3,2,3
"32","Adams River (Upper) (Clearwater) Early Summer Sockeye_SEL-09-xx","Adams River (Upper) (Clearwater) Early Summer Sockeye",46248,"Sockeye",51.4089504796979,-119.458585488563,"(P)ADAMS AND MOMICH LAKES-EARLY SUMMER TIMING","Adams/Momich-ES","SEL-09-xx",751,"N","Fraser",1954,2022,NA,0,0,249.340425531915,47,35,NA,0,0,3,1,3
"33","Adams River (Upper) (Clearwater) Late Sockeye_SEL-09-03","Adams River (Upper) (Clearwater) Late Sockeye",46249,"Sockeye",51.4089504796979,-119.458585488563,"SHUSWAP COMPLEX-LATE TIMING","Shuswap Complex-L","SEL-09-03",739,"N","Fraser",1991,2022,NA,0,0,293.071428571429,7,7,NA,0,0,3,3,3
"34","Aero Creek (Sandspit) Chum_CM-21","Aero Creek (Sandspit) Chum",42803,"Chum",53.0537308300406,-131.915264608082,"EAST HG","EHG","CM-21",801,"N","Haida Gwaii",1988,2009,269.9375,8,4,287.4375,8,4,301.222222222222,9,4,2,2,1
"35","Aero Creek (Sandspit) Coho_CO-23","Aero Creek (Sandspit) Coho",42801,"Coho",53.0537308300406,-131.915264608082,"HG-EAST","EHG","CO-23",807,"N","Haida Gwaii",1987,2002,276.35,10,7,290.55,10,7,302.35,10,7,2,2,2
"36","Aero Creek (Sandspit) Pink_PKE-10","Aero Creek (Sandspit) Pink",42802,"Pink",53.0537308300406,-131.915264608082,"EAST HAIDA GWAII","EHG","PKE-10",811,"N","Haida Gwaii",1988,2002,254.6,5,3,268.6,5,3,286.6,5,3,2,2,2
"37","Agnes Creek (Sandspit) Coho_CO-25","Agnes Creek (Sandspit) Coho",42006,"Coho",53.2365594416933,-131.857252404653,"HG-GRAHAM ISLAND LOWLANDS","NHG","CO-25",809,"N","Haida Gwaii",1987,2002,295.863636363636,11,7,305.681818181818,11,7,317.045454545455,11,6,2,2,1
"38","Ahbau Creek (Quesnel) Chinook Run 1_CK-10","Ahbau Creek (Quesnel) Chinook Run 1",47287,"Chinook",53.174617537419,-122.499209063136,"MIDDLE FRASER RIVER_SP_1.3","MFR-spring","CK-10",310,"Y","Fraser",1996,2002,228.5,1,1,239,4,3,259.5,1,1,3,2,3
"39","Ahnuhati River (Alert Bay) Chinook Run 1_CK-28","Ahnuhati River (Alert Bay) Chinook Run 1",50898,"Chinook",50.8904469718191,-125.639688850241,"SOUTHERN MAINLAND-SOUTHERN FJORDS_FA_0.x","SMn-SFj","CK-28",326,"Y","Vancouver Island & Mainland Inlets",1953,2000,192.814814814815,27,24,218.173076923077,26,23,243.851851851852,27,20,2,2,1
"40","Ahnuhati River (Alert Bay) Chum Run 1_CM-9","Ahnuhati River (Alert Bay) Chum Run 1",50896,"Chum",50.8904469718191,-125.639688850241,"UPPER KNIGHT","UKNIGHT","CM-9",979,"N","Vancouver Island & Mainland Inlets",1953,2003,217.670454545455,44,36,245.386363636364,44,33,278.386363636364,44,32,1,1,1
"41","Ahnuhati River (Alert Bay) Coho Run 1_CO-12","Ahnuhati River (Alert Bay) Coho Run 1",50892,"Coho",50.8904469718191,-125.639688850241,"SOUTHERN COASTAL STREAMS-QUEEN CHARLOTTE STRAIT-JOHNSTONE STRAIT-SOUTHERN FJORDS","SC+SFj","CO-12",909,"N","Vancouver Island & Mainland Inlets",1953,2003,230.05,40,32,261.108108108108,37,26,287.223684210526,38,26,1,1,1
"42","Ahnuhati River (Alert Bay) Coho Run 2_CO-12","Ahnuhati River (Alert Bay) Coho Run 2",50893,"Coho",50.8904469718191,-125.639688850241,"SOUTHERN COASTAL STREAMS-QUEEN CHARLOTTE STRAIT-JOHNSTONE STRAIT-SOUTHERN FJORDS","SC+SFj","CO-12",909,"Y","Vancouver Island & Mainland Inlets",1993,1995,273,1,1,303,1,1,334,1,1,3,3,3
"43","Ahnuhati River (Alert Bay) Pink Run 1_PKE-4","Ahnuhati River (Alert Bay) Pink Run 1",50894,"Pink",50.8904469718191,-125.639688850241,"SOUTHERN FJORDS","SFj","PKE-4",920,"Y","Vancouver Island & Mainland Inlets",1954,2000,210.479166666667,24,20,237.395833333333,24,20,266.630434782609,23,17,2,2,1
"44","Ahnuhati River (Alert Bay) Pink Run 1_PKO-7","Ahnuhati River (Alert Bay) Pink Run 1",50894,"Pink",50.8904469718191,-125.639688850241,"SOUTHERN FJORDS","SC+SFj","PKO-7",926,"Y","Vancouver Island & Mainland Inlets",1953,2003,217.673913043478,23,19,244.760869565217,23,19,267,23,17,2,2,1
"45","Ahnuhati River (Alert Bay) Sockeye Run 1_SER-09","Ahnuhati River (Alert Bay) Sockeye Run 1",50890,"Sockeye",50.8904469718191,-125.639688850241,"SOUTHERN FJORDS","SFj","SER-09",971,"N","Vancouver Island & Mainland Inlets",1953,1995,175.4,10,9,203.9,10,9,205.4,10,5,2,2,1
"46","Ahta River (Alert Bay) Chinook Run 1_CK-28","Ahta River (Alert Bay) Chinook Run 1",50988,"Chinook",50.8696694203228,-126.1656284414,"SOUTHERN MAINLAND-SOUTHERN FJORDS_FA_0.x","SMn-SFj","CK-28",326,"N","Vancouver Island & Mainland Inlets",1996,1999,NA,0,0,NA,0,0,NA,0,0,3,3,3
"47","Ahta River (Alert Bay) Chum Run 1_CM-8","Ahta River (Alert Bay) Chum Run 1",50986,"Chum",50.8696694203228,-126.1656284414,"SOUTHERN COASTAL STREAMS","SCS","CM-8",900,"N","Vancouver Island & Mainland Inlets",1953,2006,243.909090909091,33,25,266.632352941176,34,26,290.69696969697,33,25,1,1,1
"48","Ahta River (Alert Bay) Chum Run 2_CM-8","Ahta River (Alert Bay) Chum Run 2",50987,"Chum",50.8696694203228,-126.1656284414,"SOUTHERN COASTAL STREAMS","SCS","CM-8",900,"Y","Vancouver Island & Mainland Inlets",1995,1996,264,2,2,289,2,2,309.5,1,1,3,3,3
"49","Ahta River (Alert Bay) Coho Run 1_CO-12","Ahta River (Alert Bay) Coho Run 1",50982,"Coho",50.8696694203228,-126.1656284414,"SOUTHERN COASTAL STREAMS-QUEEN CHARLOTTE STRAIT-JOHNSTONE STRAIT-SOUTHERN FJORDS","SC+SFj","CO-12",909,"Y","Vancouver Island & Mainland Inlets",1953,2003,260.316666666667,30,22,282.791666666667,24,16,310.104166666667,24,16,1,1,1
"50","Ahta River (Alert Bay) Pink Run 1_PKE-4","Ahta River (Alert Bay) Pink Run 1",50984,"Pink",50.8696694203228,-126.1656284414,"SOUTHERN FJORDS","SFj","PKE-4",920,"Y","Vancouver Island & Mainland Inlets",1956,2006,239.527777777778,18,15,260.789473684211,19,16,288.552631578947,19,16,2,2,2
"51","Ahta River (Alert Bay) Pink Run 1_PKO-7","Ahta River (Alert Bay) Pink Run 1",50984,"Pink",50.8696694203228,-126.1656284414,"SOUTHERN FJORDS","SC+SFj","PKO-7",926,"Y","Vancouver Island & Mainland Inlets",1953,2003,240.194444444444,18,13,259.222222222222,18,13,286.75,18,13,1,1,1
"52","Ahta River (Alert Bay) Sockeye Run 1_SER-09","Ahta River (Alert Bay) Sockeye Run 1",50980,"Sockeye",50.8696694203228,-126.1656284414,"SOUTHERN FJORDS","SFj","SER-09",971,"N","Vancouver Island & Mainland Inlets",1965,2003,250.5,7,5,266.5,7,5,279.583333333333,6,4,2,2,2
"53","Ahta Valley Creek (Alert Bay) Chum Run 1_CM-8","Ahta Valley Creek (Alert Bay) Chum Run 1",50996,"Chum",50.8782089845592,-126.165765066055,"SOUTHERN COASTAL STREAMS","SCS","CM-8",900,"N","Vancouver Island & Mainland Inlets",1953,1993,233.928571428571,14,7,267.533333333333,15,8,301.571428571429,14,7,1,1,1
"54","Ahta Valley Creek (Alert Bay) Coho Run 1_CO-12","Ahta Valley Creek (Alert Bay) Coho Run 1",50992,"Coho",50.8782089845592,-126.165765066055,"SOUTHERN COASTAL STREAMS-QUEEN CHARLOTTE STRAIT-JOHNSTONE STRAIT-SOUTHERN FJORDS","SC+SFj","CO-12",909,"N","Vancouver Island & Mainland Inlets",1953,1996,256.222222222222,18,9,281.777777777778,18,9,307.222222222222,18,9,1,1,1
"55","Ahta Valley Creek (Alert Bay) Pink Run 1_PKE-4","Ahta Valley Creek (Alert Bay) Pink Run 1",50994,"Pink",50.8782089845592,-126.165765066055,"SOUTHERN FJORDS","SFj","PKE-4",920,"N","Vancouver Island & Mainland Inlets",1954,1996,233.636363636364,11,7,261.375,12,8,285.727272727273,11,7,2,2,2
"56","Ahta Valley Creek (Alert Bay) Pink Run 1_PKO-7","Ahta Valley Creek (Alert Bay) Pink Run 1",50994,"Pink",50.8782089845592,-126.165765066055,"SOUTHERN FJORDS","SC+SFj","PKO-7",926,"N","Vancouver Island & Mainland Inlets",1953,1993,234.75,8,3,263.444444444444,9,4,288,8,3,1,1,1
"57","Ain River (Masset) Chum_CM-24","Ain River (Masset) Chum",40983,"Chum",53.7326285792219,-132.423435606073,"NORTH HAIDA GWAII","NHG","CM-24",802,"Y","Haida Gwaii",1953,2022,273.377358490566,53,30,284.990740740741,54,30,297.547169811321,53,25,1,1,1
"58","Ain River (Masset) Coho_CO-25","Ain River (Masset) Coho",40981,"Coho",53.7326285792219,-132.423435606073,"HG-GRAHAM ISLAND LOWLANDS","NHG","CO-25",809,"N","Haida Gwaii",1953,1989,255.878787878788,33,17,279.818181818182,33,16,299.461538461538,26,12,1,1,1
"59","Ain River (Masset) Pink_PKE-9","Ain River (Masset) Pink",40982,"Pink",53.7326285792219,-132.423435606073,"NORTH HAIDA GWAII","NHG","PKE-9",810,"N","Haida Gwaii",1954,2020,241.038461538462,26,17,255.88,25,16,268.423076923077,26,15,1,1,1
"60","Ain River (Masset) Pink_PKO-10","Ain River (Masset) Pink",40982,"Pink",53.7326285792219,-132.423435606073,"NORTH HAIDA GWAII","NHG","PKO-10",814,"N","Haida Gwaii",1965,1989,243.285714285714,7,4,256.571428571429,7,3,266.571428571429,7,3,2,2,2
"61","Ain River (Masset) Sockeye_SEL-17-01","Ain River (Masset) Sockeye",40980,"Sockeye",53.7326285792219,-132.423435606073,"AIN/SKUNDALE/IAN","Ain/Skundale/Ian","SEL-17-01",819,"N","Haida Gwaii",1969,2020,247.212121212121,33,16,265.636363636364,33,15,282.121212121212,33,15,1,1,1
"62","Airport Side Channel (Bella Coola) Chum_CM-16","Airport Side Channel (Bella Coola) Chum",3119,"Chum",52.3913816569113,-126.586984633968,"BELLA COOLA-DEAN RIVERS","BCD","CM-16",504,"N","Central Coast",2003,2022,210.392857142857,14,14,225.59375,16,16,252.227272727273,11,11,3,3,3
"63","Airport Side Channel (Bella Coola) Coho_CO-22","Airport Side Channel (Bella Coola) Coho",3118,"Coho",52.3913816569113,-126.586984633968,"BELLA COOLA-DEAN RIVERS","BCD","CO-22",518,"N","Central Coast",2003,2022,315.5625,8,8,329.7,10,10,349.5,2,2,3,3,3
"64","Airport Side Channel (Bella Coola) Pink_PKE-6","Airport Side Channel (Bella Coola) Pink",3117,"Pink",52.3913816569113,-126.586984633968,"HECATE STRAIT-FJORDS","HStr-Fj","PKE-6",609,"N","Central Coast",2004,2020,248.5,1,1,249.5,1,1,NA,0,0,3,3,3
"65","Airport Side Channel (Bella Coola) Pink_PKO-8","Airport Side Channel (Bella Coola) Pink",3117,"Pink",52.3913816569113,-126.586984633968,"HOMATHKO-KLINAKLINI-SMITH-RIVERS-BELLA COOLA-DEAN","HK_RSI_BCD","PKO-8",610,"N","Vancouver Island & Mainland Inlets",2003,2017,229.75,2,2,258.5,2,2,NA,0,0,3,3,3
"66","Alastair Lake (Terrace) Coho_CO-32","Alastair Lake (Terrace) Coho",48535,"Coho",54.1290178193837,-129.187807457383,"LOWER SKEENA","LSKNA","CO-32",202,"N","Skeena",1958,1990,282.941176470588,17,17,310.9375,16,10,338.9375,16,10,3,1,1
"67","Alastair Lake (Terrace) Sockeye_SEL-20-01","Alastair Lake (Terrace) Sockeye",48534,"Sockeye",54.1290178193837,-129.187807457383,"ALASTAIR","Alastair","SEL-20-01",171,"Y","Skeena",1953,2022,244.336538461538,52,50,266.53,50,38,291.127450980392,51,38,2,1,1
"68","Albreda River (Clearwater) Coho_CO-9","Albreda River (Clearwater) Coho",46825,"Coho",52.4788789187295,-119.131051643438,"NORTH THOMPSON","NTHOM","CO-9",709,"Y","Fraser",1977,2014,302.041666666667,24,16,314.961538461538,26,18,334.527777777778,18,10,1,1,1
"69","Alder Island Creek (Sandspit) Chum_CM-21","Alder Island Creek (Sandspit) Chum",43348,"Chum",52.4376350211453,-131.313595569038,"EAST HG","EHG","CM-21",801,"N","Haida Gwaii",1974,2009,279.645833333333,24,18,290.74,25,19,303.173076923077,26,19,1,1,1
"70","Alder Island Creek (Sandspit) Coho_CO-23","Alder Island Creek (Sandspit) Coho",43346,"Coho",52.4376350211453,-131.313595569038,"HG-EAST","EHG","CO-23",807,"N","Haida Gwaii",1975,1995,279.8,10,6,292.9,10,6,312,9,5,2,2,2
"71","Alder Island Creek (Sandspit) Pink_PKE-10","Alder Island Creek (Sandspit) Pink",43347,"Pink",52.4376350211453,-131.313595569038,"EAST HAIDA GWAII","EHG","PKE-10",811,"N","Haida Gwaii",1976,1992,263.8,5,3,270.333333333333,6,4,282.6,5,3,2,2,2
"72","Alice Creek (Terrace) Chum_CM-27","Alice Creek (Terrace) Chum",44886,"Chum",54.685232898041,-128.765901889851,"LOWER SKEENA","LSK","CM-27",211,"N","Skeena",2005,2005,237.5,1,1,NA,0,0,NA,0,0,3,3,3
"73","Alice Creek (Terrace) Coho_CO-32","Alice Creek (Terrace) Coho",44884,"Coho",54.685232898041,-128.765901889851,"LOWER SKEENA","LSKNA","CO-32",202,"N","Skeena",1998,2003,294,2,0,312,4,0,320,2,0,2,2,2
"74","Alice Creek (Terrace) Pink_PKO-15","Alice Creek (Terrace) Pink",44885,"Pink",54.685232898041,-128.765901889851,"LOWER SKEENA","LSK","PKO-15",209,"N","Skeena",2005,2005,217.5,1,1,NA,0,0,NA,0,0,3,3,3
"75","Alison River (Port Hardy) Chum Run 1_CM-8","Alison River (Port Hardy) Chum Run 1",49600,"Chum",51.1878405659422,-126.916222615435,"SOUTHERN COASTAL STREAMS","SCS","CM-8",900,"Y","Vancouver Island & Mainland Inlets",1988,2003,246.625,8,8,263.5625,8,8,283.3125,8,8,3,3,3
"76","Alison River (Port Hardy) Coho Run 1_CO-12","Alison River (Port Hardy) Coho Run 1",49596,"Coho",51.1878405659422,-126.916222615435,"SOUTHERN COASTAL STREAMS-QUEEN CHARLOTTE STRAIT-JOHNSTONE STRAIT-SOUTHERN FJORDS","SC+SFj","CO-12",909,"Y","Vancouver Island & Mainland Inlets",1988,2003,260.375,8,8,276.9375,8,8,309.5,7,7,3,3,3
"77","Allard Creek (Rivers Inlet) Chinook_NA","Allard Creek (Rivers Inlet) Chinook",49773,"Chinook",NA,NA,NA,NA,NA,NA,NA,NA,1983,1983,288,1,1,319,1,1,349,1,1,3,3,3
"78","Allard Creek (Rivers Inlet) Chum_CM-12","Allard Creek (Rivers Inlet) Chum",49772,"Chum",51.4633965493348,-127.326452325689,"SMITH INLET","SMIITH","CM-12",500,"N","Central Coast",1953,2006,258.387096774194,31,23,279.161290322581,31,20,296.560606060606,33,20,1,1,1
"79","Allard Creek (Rivers Inlet) Coho_CO-21","Allard Creek (Rivers Inlet) Coho",49770,"Coho",51.4633965493348,-127.326452325689,"RIVERS INLET","Rivers","CO-21",517,"N","Central Coast",1953,1989,262.642857142857,14,11,293.307692307692,13,10,316.642857142857,14,9,2,2,1
"80","Allard Creek (Rivers Inlet) Pink_PKE-6","Allard Creek (Rivers Inlet) Pink",49771,"Pink",51.4633965493348,-127.326452325689,"HECATE STRAIT-FJORDS","HStr-Fj","PKE-6",609,"N","Central Coast",1976,2006,252.875,8,8,265.888888888889,9,9,285.333333333333,9,8,3,3,2
"81","Allard Creek (Rivers Inlet) Pink_PKO-8","Allard Creek (Rivers Inlet) Pink",49771,"Pink",51.4633965493348,-127.326452325689,"HOMATHKO-KLINAKLINI-SMITH-RIVERS-BELLA COOLA-DEAN","HK_RSI_BCD","PKO-8",610,"N","Vancouver Island & Mainland Inlets",1977,1991,251.625,8,8,260.5,8,8,284.25,8,7,3,3,2
"82","Allardyce Creek (Alert Bay) Chum Run 1_CM-8","Allardyce Creek (Alert Bay) Chum Run 1",51086,"Chum",50.8820884485607,-126.829267550485,"SOUTHERN COASTAL STREAMS","SCS","CM-8",900,"N","Vancouver Island & Mainland Inlets",1934,1969,277,8,3,288.25,8,3,319.25,8,3,1,1,1
